matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,148909,0.0,0,70186
5,0,54934,0.0,0,23050
6,0,21223,0.0,0,7371
7,0,9344,0.0,0,2425
8,0,4850,0.0,0,817
9,0,2981,0.0,0,276
10,1020,2050,0.9625424206987204,10,78
11,1363,1530,0.8632513229294684,13,23
12,1144,1144,0.4178031203434134,8,9
13,848,848,0.4464407812251834,0,1
14,635,635,0.4464407812251834,-1,0
15,449,449,0.7159834267319479,-1,0
16,304,304,0.7855322426718653,-1,0
17,184,184,0.8367195274465706,-1,0
18,95,95,0.8997738018320731,-1,0
19,34,34,0.9217098882023904,-1,0
20,10,10,0.9511569961380141,-1,0
