matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,148909,0.0,0,70186
5,0,55145,0.0,0,23109
6,0,21223,0.0,0,7366
7,0,9220,0.0,0,2362
8,0,4739,0.0,0,788
9,1081,2870,0.98337888241345,10,261
10,1244,1953,0.9729810437769032,12,75
11,1368,1460,0.9215131190117876,13,19
12,1108,1108,0.7989438006519177,7,8
13,824,824,0.8088375607320257,2,3
14,600,600,0.8088375607320257,1,2
15,419,419,0.9167862958972886,0,1
16,280,280,0.9167862958972886,0,1
17,171,171,0.9181037055050912,0,1
18,84,84,0.9351676863345966,-1,0
19,30,30,0.9351676863345966,-1,0
20,10,10,0.980819855858788,-1,0
