matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,15928,0.0,0,7889
5,0,4948,0.0,0,2190
6,0,1763,0.0,0,658
7,0,789,0.0,0,202
8,0,431,0.0,0,53
9,117,310,0.9996622019946504,1,15
10,239,248,0.9994765956825072,2,3
11,204,204,0.9995227950548324,0,1
12,164,164,0.9995690151613184,0,1
13,123,123,0.9996467770481684,-1,0
14,94,94,0.9997195630582082,-1,0
15,66,66,0.9997732338191556,-1,0
16,46,46,0.9998131966903886,-1,0
17,24,24,0.9998962931587578,-1,0
18,10,10,0.9999324554187676,-1,0
19,4,4,0.9999647836610586,-1,0
20,2,2,0.999983274961232,-1,0
