matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,15928,0.0,0,7889
5,0,4640,0.0,0,2067
6,0,1563,0.0,0,593
7,0,679,0.0,0,185
8,0,349,0.0,0,39
9,0,248,0.0,0,11
10,193,198,0.9997092387685312,1,3
11,157,157,0.999740672752927,-1,0
12,128,128,0.9997658702302132,-1,0
13,105,105,0.9997913309960202,-1,0
14,75,75,0.9998209554530352,-1,0
15,51,51,0.9998566477886708,-1,0
16,38,38,0.999879718575158,-1,0
17,21,21,0.9999208116208196,-1,0
18,9,9,0.9999571016540796,-1,0
19,4,4,0.99998094582036,-1,0
20,1,1,0.9999968663921792,-1,0
