matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,1721198,0.0,0,750947
5,0,1238220,0.0,0,511263
6,0,851710,0.0,0,329460
7,0,562669,0.0,0,201686
8,0,359198,0.0,0,117766
9,0,223418,0.0,0,66084
10,0,136758,0.0,0,35605
11,0,82793,0.0,0,18405
12,5543,50495,0.9691722998339632,55,9151
13,6837,31143,0.9523603764595208,68,4431
14,6687,19710,0.9410549357376172,66,2075
15,6918,12853,0.9100769518693668,69,911
16,6189,8542,0.8774079444033297,61,387
17,5026,5805,0.8363860639520874,50,135
18,4070,4112,0.6639833883291635,40,48
19,2950,2950,0.5635562597989707,19,20
20,2161,2161,0.5677891068720946,4,5
21,1612,1612,0.6204169819223921,0,1
22,1219,1219,0.6817594008257942,-1,0
23,840,840,0.7661872262833639,-1,0
24,587,587,0.8675268832504346,-1,0
25,385,385,0.8675268832504346,-1,0
26,237,237,0.8675268832504346,-1,0
27,136,136,0.9109691453653916,-1,0
28,90,90,0.9109691453653916,-1,0
29,42,42,0.9109691453653916,-1,0
30,15,15,0.9428246459919142,-1,0
31,4,4,0.9428246459919142,-1,0
