matches,FDRCutoff,total,cosine
4,0,161742,0.0
5,0,74092,0.0
6,0,35367,0.0
7,0,18214,0.0
8,0,9841,0.0
9,0,5720,0.0
10,0,3609,0.0
11,0,2431,0.0
12,688,1749,0.9990191240874766
13,810,1304,0.9988999812268182
14,681,1015,0.9990258378315202
15,664,790,0.9990401617369732
16,607,607,0.9991100364560251
17,458,458,0.999245662884878
18,355,355,0.9993773967243124
19,260,260,0.9994913723376108
20,192,192,0.9995791310681436
21,140,140,0.9996453966539488
22,104,104,0.999705740707406
23,70,70,0.9997741065439544
24,51,51,0.999810872502962
25,27,27,0.9998622868595238
26,15,15,0.9999044959329144
27,12,12,0.9999219212716384
28,9,9,0.9999263389634098
29,2,2,0.9999768236535486
