matches,FDRCutoff,total,cosine
4,0,16221,0.0
5,0,6110,0.0
6,0,2555,0.0
7,0,1237,0.0
8,0,683,0.0
9,0,438,0.0
10,0,316,0.0
11,0,254,0.0
12,160,198,0.9996134013295432
13,154,160,0.9996199577442254
14,128,128,0.9996622019946504
15,98,98,0.9997195630582082
16,76,76,0.9997559583097212
17,60,60,0.9997980206357534
18,48,48,0.9998150650402106
19,38,38,0.9998363589959374
20,25,25,0.9998696606583254
21,18,18,0.9998865490851048
22,12,12,0.9999219212716384
24,8,8,0.9999312801262871
25,5,5,0.9999448466779396
26,2,2,0.9999768236535486
29,1,1,0.9999826707409444
