matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,920212,0.0,0,361111
5,0,510576,0.0,0,177675
6,0,269182,0.0,0,79547
7,0,139626,0.0,0,33422
8,296,73408,0.9957355707405626,2,13177
9,7831,40707,0.9722663830272394,78,4893
10,9879,24167,0.9509296370409716,98,1743
11,11283,15389,0.8936763157866383,112,566
12,9545,10195,0.8039396417237337,95,158
13,6807,6807,0.32300805022595663,45,46
14,4573,4573,0.5808920170033549,7,8
15,3012,3012,0.6163196942304339,1,2
16,1907,1907,0.6607618159662172,0,1
17,1084,1084,0.7710561690014068,-1,0
18,547,547,0.7710561690014068,-1,0
19,210,210,0.8598358241538318,-1,0
20,47,47,0.9099627086397644,-1,0
