matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,124362,0.0,0,56029
5,0,37673,0.0,0,14082
6,0,13302,0.0,0,3582
7,0,5881,0.0,0,940
8,708,3302,0.9909233608048694,7,246
9,1569,2261,0.968591673651499,15,59
10,1576,1663,0.9094355697769478,15,21
11,1253,1253,0.8088375607320257,4,5
12,928,928,0.8088375607320257,0,1
13,646,646,0.8088375607320257,0,1
14,460,460,0.8088375607320257,0,1
15,307,307,0.9128838200335472,0,1
16,186,186,0.9128838200335472,0,1
17,102,102,0.9351676863345966,-1,0
18,51,51,0.9351676863345966,-1,0
19,19,19,0.9351676863345966,-1,0
20,4,4,0.981861630210839,-1,0
