matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,15237,0.0,0,7442
5,0,3832,0.0,0,1612
6,0,1215,0.0,0,374
7,0,540,0.0,0,86
8,0,322,0.0,0,18
9,236,241,0.9128838200335472,2,3
10,173,189,0.97001878068307,1,3
11,139,139,0.8879131894635401,-1,0
12,104,104,0.9128838200335472,-1,0
13,75,75,0.9128838200335472,-1,0
14,48,48,0.9128838200335472,-1,0
15,32,32,0.9128838200335472,-1,0
16,21,21,0.9128838200335472,-1,0
17,12,12,0.9793975015776422,-1,0
18,8,8,0.9793975015776422,-1,0
19,2,2,0.9910754603628884,-1,0
