matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,120801,0.0,0,54038
5,0,35473,0.0,0,12957
6,0,12495,0.0,0,3248
7,0,5638,0.0,0,891
8,0,3228,0.0,0,237
9,0,2225,0.0,0,66
10,1619,1660,0.7057538022433362,16,21
11,1222,1222,0.4464407812251834,2,3
12,905,905,0.4464407812251834,1,2
13,645,645,0.4464407812251834,0,1
14,448,448,0.4464407812251834,-1,0
15,288,288,0.782223125776126,-1,0
16,181,181,0.8367195274465706,-1,0
17,89,89,0.8367195274465706,-1,0
18,43,43,0.8997738018320731,-1,0
19,18,18,0.9217098882023904,-1,0
