matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,15126,0.0,0,7365
5,0,3913,0.0,0,1612
6,0,1268,0.0,0,384
7,0,567,0.0,0,93
8,123,351,0.990558833027558,1,17
9,221,260,0.9506498135427396,2,3
10,186,216,0.9506498135427396,1,2
11,154,154,0.7431444183948904,-1,0
12,114,114,0.8113284242884145,-1,0
13,85,85,0.8113284242884145,-1,0
14,58,58,0.8418229465058491,-1,0
15,34,34,0.8418229465058491,-1,0
16,19,19,0.9376539621050248,-1,0
17,6,6,0.9694675465111956,-1,0
18,4,4,0.9694675465111956,-1,0
19,2,2,0.9694675465111956,-1,0
