matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,120801,0.0,0,54038
5,0,35711,0.0,0,13033
6,0,12527,0.0,0,3204
7,0,5560,0.0,0,839
8,691,3170,0.9909669136479884,6,215
9,1709,2183,0.9570240963420832,17,49
10,1588,1606,0.8586212875243019,15,18
11,1180,1180,0.8088375607320257,2,3
12,875,875,0.8088375607320257,0,1
13,608,608,0.8088375607320257,0,1
14,424,424,0.8088375607320257,0,1
15,283,283,0.9128838200335472,0,1
16,165,165,0.9128838200335472,0,1
17,89,89,0.9351676863345966,-1,0
18,42,42,0.9351676863345966,-1,0
19,15,15,0.9351676863345966,-1,0
20,1,1,0.981861630210839,-1,0
