matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,1252368,0.0,0,518358
5,0,789673,0.0,0,300334
6,0,472843,0.0,0,161853
7,0,274011,0.0,0,82338
8,0,155658,0.0,0,39988
9,0,88420,0.0,0,18560
10,0,51118,0.0,0,8292
11,342,30658,0.9916834369915536,3,3538
12,174,19396,0.9933401745915356,1,1513
13,7497,12613,0.7895012227125153,74,568
14,7168,8493,0.5904279200379234,71,197
15,5867,5871,0.13417293714752318,58,59
16,4217,4217,0.12832137270153796,21,22
17,3039,3039,0.12832137270153796,4,5
18,2168,2168,0.24872904395710635,1,2
19,1595,1595,0.24872904395710635,-1,0
20,1140,1140,0.3659106603449425,-1,0
21,826,826,0.4472472755694675,-1,0
22,567,567,0.4472472755694675,-1,0
23,380,380,0.6249200675123665,-1,0
24,258,258,0.713607580952957,-1,0
25,160,160,0.713607580952957,-1,0
26,94,94,0.7394531549989833,-1,0
27,49,49,0.7558668536748298,-1,0
28,21,21,0.7622644798427923,-1,0
29,4,4,0.9345433807215796,-1,0
