matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,15721,0.0,0,7738
5,0,4529,0.0,0,1997
6,0,1604,0.0,0,580
7,0,720,0.0,0,168
8,0,400,0.0,0,54
9,0,268,0.0,0,17
10,0,206,0.0,0,7
11,139,165,0.979032247838072,1,3
12,129,129,0.8813352765061615,0,1
13,98,98,0.8813352765061615,-1,0
14,75,75,0.8813352765061615,-1,0
15,52,52,0.9412325423506565,-1,0
16,42,42,0.9412325423506565,-1,0
17,32,32,0.9412325423506565,-1,0
18,21,21,0.9765320092303712,-1,0
19,16,16,0.9831746067617864,-1,0
20,9,9,0.9897840407447388,-1,0
21,7,7,0.9897840407447388,-1,0
22,5,5,0.9897840407447388,-1,0
23,4,4,0.9897840407447388,-1,0
24,2,2,0.9899211080038384,-1,0
