matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,1252368,0.0,0,518358
5,0,789673,0.0,0,300334
6,0,472843,0.0,0,161853
7,0,274011,0.0,0,82338
8,0,155658,0.0,0,39988
9,0,88420,0.0,0,18560
10,5485,51118,0.9760299608616232,54,8292
11,7483,30658,0.9588389944004976,74,3538
12,7961,19396,0.9416825591700492,79,1513
13,8271,12613,0.9000490883530328,82,568
14,7348,8493,0.8353282580811514,73,197
15,5866,5871,0.5784479607095607,58,59
16,4217,4217,0.5620948898342281,21,22
17,3039,3039,0.5784479607095607,4,5
18,2168,2168,0.6752868158672864,1,2
19,1595,1595,0.6973565701327831,-1,0
20,1140,1140,0.7648518991006636,-1,0
21,826,826,0.8133548643094513,-1,0
22,567,567,0.8133548643094513,-1,0
23,380,380,0.8756970330162759,-1,0
24,258,258,0.9112805018321084,-1,0
25,160,160,0.9134960411026414,-1,0
26,94,94,0.914359502647187,-1,0
27,49,49,0.9381232571482824,-1,0
28,21,21,0.9421369764650792,-1,0
29,4,4,0.9754119016847296,-1,0
