#Enter lib upload/conversion:
#0:00:02.280776
#Enter library dictionary upload:
#0:00:54.967275
#enter spectra comparison:
#0:02:41.972468
Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
100,26.230343196999996,141,500.0,1011
200,41.60905813100001,158,600.0,1369
300,37.77021161100001,152,700.0,1140
400,34.43965877199997,344,800.0,905
500,24.701273990000004,461,900.0,575
600,16.282186058000036,222,1000.0,420
700,40.48514932699999,1002,500.0,1011
800,45.12951737499998,907,600.0,1369
900,40.453985466000006,1302,700.0,1140
1000,31.054877212000008,686,800.0,905
1100,19.91594934699998,238,900.0,575
1200,13.933855986000026,119,1000.0,420
1300,28.730482191999954,1204,500.0,1011
1400,41.35496948000002,1080,600.0,1369
1500,38.411134365000066,864,700.0,1140
1600,28.704747809999958,636,800.0,905
1700,19.891045401000042,415,900.0,575
1800,13.795091538999941,90,1000.0,420
1900,29.17212198200002,1587,500.0,1011
2000,43.15033393600004,1493,600.0,1369
2100,37.87820561399997,865,700.0,1140
2200,29.496219991999965,770,800.0,905
2300,19.449768361999986,214,900.0,575
2400,13.186584891000052,37,1000.0,420
2500,28.338469330999942,963,500.0,1011
2600,41.14243516900001,1328,600.0,1369
2700,36.69864955700007,489,700.0,1140
2800,26.616392292,329,800.0,905
2900,19.388849036999886,59,900.0,575
3000,12.711530289000166,40,1000.0,420
3100,24.212024246999817,745,500.0,1011
3200,36.689926354000136,762,600.0,1369
3300,36.13178257499999,178,700.0,1140
3400,26.210059577000038,162,800.0,905
3500,19.099244647999967,57,900.0,575
3600,13.760636517999956,33,1000.0,420
3700,21.35590424399993,271,500.0,1011
3800,34.46800863600015,284,600.0,1369
3900,33.08201479099989,243,700.0,1140
4000,26.577822951000144,113,800.0,905
4100,18.71260729399978,51,900.0,575
4200,13.394954998000003,36,1000.0,420
4300,26.155657365000025,700,500.0,1011
4400,40.20269595100012,1673,600.0,1369
4500,40.39912335899999,925,700.0,1140
4600,28.192278722000083,142,800.0,905
4700,18.934299325999973,47,900.0,575
4800,12.806526542000029,41,1000.0,420
4900,27.557214021999926,1450,500.0,1011
5000,43.544628756000066,1645,600.0,1369
5100,40.260053836,798,700.0,1140
5200,28.263638469999933,275,800.0,905
5300,18.569056043000046,61,900.0,575
5400,12.601305236999906,45,1000.0,420
5500,27.154135348999944,1301,500.0,1011
5600,42.299634277999985,927,600.0,1369
5700,38.561253838000084,706,700.0,1140
5800,27.387316121999902,311,800.0,905
5900,18.53646145100015,67,900.0,575
6000,12.94024089300001,38,1000.0,420
6100,23.083469714999865,219,500.0,1011
6200,34.02179893200014,72,600.0,1369
6300,31.896260839999968,60,700.0,1140
6400,24.285958995999863,46,800.0,905
6500,17.93203897400008,50,900.0,575
6600,12.72873884799992,39,1000.0,420
6700,20.756131059000154,43,500.0,1011
6800,32.68304223600012,42,600.0,1369
6900,31.759995194999647,44,700.0,1140
7000,24.386359727000126,38,800.0,905
7100,17.836661366000044,38,900.0,575
7200,13.230794322999827,43,1000.0,420
#7200
#done:
#0:35:35.603024
