#Enter lib upload/conversion:
#0:00:01.941891
#Enter library dictionary upload:
#0:00:39.755774
#enter spectra comparison:
#0:01:50.149269
Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
100,16.986037284000005,141,500.0,782
200,26.837467610000004,158,600.0,1128
300,27.054819756,152,700.0,983
400,24.662331558999995,344,800.0,729
500,17.161583766999996,461,900.0,474
600,12.006438884999994,222,1000.0,347
700,18.587383638000006,1002,500.0,782
800,38.317797539,907,600.0,1128
900,48.787099755999975,1302,700.0,983
1000,43.86340556600004,686,800.0,729
1100,21.66736832099997,238,900.0,474
1200,12.270959557000026,119,1000.0,347
1300,24.34838143600001,1204,500.0,782
1400,39.423858035999956,1080,600.0,1128
1500,41.88258764,864,700.0,983
1600,29.648969127999976,636,800.0,729
1700,26.068711881000013,415,900.0,474
1800,14.063247482000065,90,1000.0,347
1900,25.831935876999978,1587,500.0,782
2000,36.93312085699995,1493,600.0,1128
2100,39.7878551230001,865,700.0,983
2200,48.205712232999986,770,800.0,729
2300,24.84232909299999,214,900.0,474
2400,16.680457675999946,37,1000.0,347
2500,26.81826669999998,963,500.0,782
2600,38.267412014,1328,600.0,1128
2700,44.150269105999996,489,700.0,983
2800,23.64289744200005,329,800.0,729
2900,15.914844786000003,59,900.0,474
3000,11.022571962000029,40,1000.0,347
3100,18.756781581999917,745,500.0,782
3200,32.03361738700005,762,600.0,1128
3300,30.46632794200002,178,700.0,983
3400,22.59752497799991,162,800.0,729
3500,15.882517332000134,57,900.0,474
3600,10.923091315999955,33,1000.0,347
3700,16.2881202399999,271,500.0,782
3800,29.583772095000086,284,600.0,1128
3900,39.18288372999996,243,700.0,983
4000,25.010175656,113,800.0,729
4100,18.152951971999983,51,900.0,474
4200,12.250552263000145,36,1000.0,347
4300,21.919002115000012,700,500.0,782
4400,35.11324582399993,1673,600.0,1128
4500,34.64717473499991,925,700.0,983
4600,26.72831648300007,142,800.0,729
4700,16.487399305000054,47,900.0,474
4800,10.845801773999938,41,1000.0,347
4900,21.872548020000067,1450,500.0,782
5000,40.60336381299999,1645,600.0,1128
5100,38.221663932999945,798,700.0,983
5200,25.12728074000006,275,800.0,729
5300,17.321539959999882,61,900.0,474
5400,11.124988590000157,45,1000.0,347
5500,21.011455203999958,1301,500.0,782
5600,38.59034665900003,927,600.0,1128
5700,32.62257732699982,706,700.0,983
5800,24.043822654999985,311,800.0,729
5900,16.96589644200003,67,900.0,474
6000,11.123112312000103,38,1000.0,347
6100,17.663051286999917,219,500.0,782
6200,30.419706324000117,72,600.0,1128
6300,27.118345996000016,60,700.0,983
6400,20.332627497999965,46,800.0,729
6500,15.763960534000034,50,900.0,474
6600,10.554233877999877,39,1000.0,347
6700,15.369086690000131,43,500.0,782
6800,26.29918849899991,42,600.0,1128
6900,25.676526189000015,44,700.0,983
7000,20.672846349999872,38,800.0,729
7100,15.254330482000114,38,900.0,474
7200,10.645538661000046,43,1000.0,347
#7200
#done:
#0:31:37.508979
