#Enter lib upload/conversion:
#0:00:01.988385
#Enter library dictionary upload:
#0:01:11.571990
#enter spectra comparison:
#0:03:07.530006
Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
100,30.013377944000013,141,500.0,782
200,47.89019674900001,158,600.0,1128
300,54.750076836000005,152,700.0,983
400,36.265751088,344,800.0,729
500,26.613388913999984,461,900.0,474
600,19.104345025999976,222,1000.0,347
700,30.361903651000034,1002,500.0,782
800,52.13892395199997,907,600.0,1128
900,50.82872366699996,1302,700.0,983
1000,39.373421431,686,800.0,729
1100,27.76029643800007,238,900.0,474
1200,17.20971254799997,119,1000.0,347
1300,36.625792685999954,1204,500.0,782
1400,79.6537380640001,1080,600.0,1128
1500,68.15658793,864,700.0,983
1600,40.54654594099998,636,800.0,729
1700,30.73764699000003,415,900.0,474
1800,16.86627650999992,90,1000.0,347
1900,30.22581863700009,1587,500.0,782
2000,55.66318880099993,1493,600.0,1128
2100,57.22636154200006,865,700.0,983
2200,45.85503324399997,770,800.0,729
2300,27.658097444000077,214,900.0,474
2400,17.00083952199998,37,1000.0,347
2500,35.64785412499987,963,500.0,782
2600,56.598031693000166,1328,600.0,1128
2700,45.53424512599986,489,700.0,983
2800,33.021549638000124,329,800.0,729
2900,23.70126998899991,59,900.0,474
3000,15.39977688099998,40,1000.0,347
3100,26.036893233,745,500.0,782
3200,48.263350087999925,762,600.0,1128
3300,43.64364367400003,178,700.0,983
3400,32.65486616299995,162,800.0,729
3500,24.264740002000053,57,900.0,474
3600,15.585588260000122,33,1000.0,347
3700,22.628459679999878,271,500.0,782
3800,43.37296273200013,284,600.0,1128
3900,49.82991889999994,243,700.0,983
4000,35.28114465999988,113,800.0,729
4100,23.878836157000023,51,900.0,474
4200,15.882796724000173,36,1000.0,347
4300,26.475967786999945,700,500.0,782
4400,48.30152741500001,1673,600.0,1128
4500,48.610903320000034,925,700.0,983
4600,34.87420483899996,142,800.0,729
4700,22.949010389000023,47,900.0,474
4800,15.537256680999917,41,1000.0,347
4900,27.54109415500011,1450,500.0,782
5000,50.65143454299982,1645,600.0,1128
5100,49.15182129699997,798,700.0,983
5200,35.06777912899997,275,800.0,729
5300,24.829020096000022,61,900.0,474
5400,16.283585485000003,45,1000.0,347
5500,27.659873755000262,1301,500.0,782
5600,54.37749415500002,927,600.0,1128
5700,54.90138499499972,706,700.0,983
5800,34.21132527899999,311,800.0,729
5900,31.80164160000004,67,900.0,474
6000,18.945275586000207,38,1000.0,347
6100,27.450352027999998,219,500.0,782
6200,46.25216795000006,72,600.0,1128
6300,43.89458996099984,60,700.0,983
6400,38.775113562000115,46,800.0,729
6500,27.85698377699964,50,900.0,474
6600,17.550089225000193,39,1000.0,347
6700,26.920889350999914,43,500.0,782
6800,47.94816851700034,42,600.0,1128
6900,49.24103413499961,44,700.0,983
7000,33.52726111000038,38,800.0,729
7100,21.767199997999796,38,900.0,474
7200,14.705912353999793,43,1000.0,347
#7200
#done:
#0:45:35.779937
