#Enter lib upload/conversion:
#0:00:03.815759
#Enter library dictionary upload:
#0:00:16.598803
#enter spectra comparison:
#0:01:24.325383
Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
100,7.7333809880000075,102,449.5,589
200,5.014843568999993,96,499.5,782
300,7.563969583000002,129,549.5,1146
400,9.538107710000006,194,599.5,1128
500,7.1217407359999925,302,649.5,1142
600,6.495657033000015,407,699.5,983
700,6.8092754470000045,289,749.5,806
800,4.804519039999974,277,799.5,729
900,4.2466611810000074,165,849.5,698
1000,3.8762860859999932,319,899.5,474
1100,3.7781696830000158,193,949.5,439
1200,3.0178560530000027,146,999.5,346
1300,3.578883196999982,203,449.5,589
1400,5.240974153000025,106,499.5,782
1500,6.290495445999994,152,549.5,1146
1600,6.908352758000007,192,599.5,1128
1700,6.713888476999983,82,649.5,1142
1800,5.996357740999997,104,699.5,983
1900,6.098565226000005,90,749.5,806
2000,4.898515210999989,114,799.5,729
2100,5.039254525000018,82,849.5,698
2200,4.1218213239999955,121,899.5,474
2300,3.8592156439999883,34,949.5,439
2400,3.1740563870000074,55,999.5,346
2500,3.9131472980000126,136,449.5,589
2600,5.194923816999989,146,499.5,782
2700,8.761821975999993,202,549.5,1146
2800,8.136517420000018,247,599.5,1128
2900,8.215567722000003,186,649.5,1142
3000,6.206425932999963,122,699.5,983
3100,5.3709956650000095,66,749.5,806
3200,5.9635607179999965,72,799.5,729
3300,4.92469201900002,55,849.5,698
3400,3.8760294850000037,34,899.5,474
3500,3.321854928999983,50,949.5,439
3600,3.343331243000023,91,999.5,346
3700,3.8660369639999885,80,449.5,589
3800,5.384006417000023,183,499.5,782
3900,6.7189118269999994,97,549.5,1146
4000,7.416787122999949,98,599.5,1128
4100,7.165324373000033,95,649.5,1142
4200,6.213080918999992,67,699.5,983
4300,5.890884600999982,40,749.5,806
4400,4.8554277190000334,46,799.5,729
4500,4.159303857999987,33,849.5,698
4600,3.668710169999997,67,899.5,474
4700,3.3128067420000207,44,949.5,439
4800,2.888308110999958,23,999.5,346
4900,3.5295363750000206,206,449.5,589
5000,5.209380528999986,241,499.5,782
5100,6.2201297050000335,123,549.5,1146
5200,7.088847203,157,599.5,1128
5300,6.776788205000003,94,649.5,1142
5400,5.808611052999993,101,699.5,983
5500,5.497641668999961,80,749.5,806
5600,4.884458331000019,56,799.5,729
5700,4.485050709999996,59,849.5,698
5800,3.543513112000028,30,899.5,474
5900,3.2163190729999656,30,949.5,439
6000,2.734342983000033,27,999.5,346
6100,3.471402598999987,118,449.5,589
6200,4.980537050999999,266,499.5,782
6300,5.773505938000028,122,549.5,1146
6400,6.647564043999978,46,599.5,1128
6500,6.580340201000013,79,649.5,1142
6600,6.832321591999971,84,699.5,983
6700,7.521065666000027,79,749.5,806
6800,5.349473450999994,37,799.5,729
6900,4.747165901000017,21,849.5,698
7000,4.562677493999956,18,899.5,474
7100,3.825226504999989,20,949.5,439
7200,3.6616817210000363,21,999.5,346
7300,3.747218896999982,136,449.5,589
7400,5.454536173999998,124,499.5,782
7500,6.748170886000025,121,549.5,1146
7600,6.5886915069999645,296,599.5,1128
7700,6.9350550240000075,145,649.5,1142
7800,6.20794457300002,220,699.5,983
7900,5.873236371000019,179,749.5,806
8000,4.607252356000004,63,799.5,729
8100,4.530601000999923,106,849.5,698
8200,3.681680357999994,67,899.5,474
8300,3.854696607000051,84,949.5,439
8400,4.400399547000006,81,999.5,346
8500,3.7075347249999595,279,449.5,589
8600,5.9075913960000435,160,499.5,782
8700,6.545821200999967,128,549.5,1146
8800,7.410215924999989,183,599.5,1128
8900,7.001144999000076,190,649.5,1142
9000,6.912725933999923,230,699.5,983
9100,6.934390857000039,297,749.5,806
9200,7.185663330000011,122,799.5,729
9300,5.223247361999938,136,849.5,698
9400,4.051477228000067,102,899.5,474
9500,3.4323223779999807,55,949.5,439
9600,3.7435288049999826,355,999.5,346
9700,3.769143096999983,138,449.5,589
9800,4.939088242000025,131,499.5,782
9900,7.080008711999994,126,549.5,1146
10000,6.732483399999978,135,599.5,1128
10100,6.6002653230000305,124,649.5,1142
10200,7.416013819,80,699.5,983
10300,6.72852685099997,55,749.5,806
10400,5.7453340470000285,124,799.5,729
10500,4.083895386999984,88,849.5,698
10600,4.045513195000012,91,899.5,474
10700,3.2449318579999726,59,949.5,439
10800,2.8030724270000746,45,999.5,346
10900,3.5142893769999546,146,449.5,589
11000,4.78062417000001,259,499.5,782
11100,6.250601030999974,171,549.5,1146
11200,6.795112343000028,255,599.5,1128
11300,7.218062790999966,82,649.5,1142
11400,6.649214548000032,212,699.5,983
11500,6.238898830000039,329,749.5,806
11600,6.097226964000015,126,799.5,729
11700,5.790839545999916,30,849.5,698
11800,4.137124302000075,62,899.5,474
11900,3.38961968000001,25,949.5,439
12000,3.0493834899999683,19,999.5,346
12100,4.1177165949999335,512,449.5,589
12200,4.914478275000079,75,499.5,782
12300,6.275604604000023,78,549.5,1146
12400,7.23443904599992,159,599.5,1128
12500,7.839617965000002,22,649.5,1142
12600,6.623351201999981,23,699.5,983
12700,5.6464185959999895,36,749.5,806
12800,4.9810551910001095,14,799.5,729
12900,4.520164859999909,25,849.5,698
13000,5.370147911999993,16,899.5,474
13100,3.3808491510000067,26,949.5,439
13200,3.7794219050000493,24,999.5,346
13300,4.3562425530000155,18,449.5,589
13400,6.199619274999918,29,499.5,782
13500,7.049940063999998,26,549.5,1146
13600,8.295458722000035,24,599.5,1128
13700,6.920243421999999,25,649.5,1142
13800,6.427777212000024,21,699.5,983
13900,6.240729035999948,9,749.5,806
14000,5.204429951000066,25,799.5,729
14100,4.926920007000035,25,849.5,698
14200,4.143724996999936,18,899.5,474
14300,3.428461203999973,31,949.5,439
14400,3.230125135000094,18,999.5,346
#14400
#Complete
#0:14:17.124433
#enter csodiaq output filtering:
#0:14:17.549950
#Complete
#0:14:22.015201
#enter csodiaq ppm spread file creation:
#0:14:22.016456
#Complete
#0:14:23.174679
#Enter lib upload/conversion:
#0:14:24.448468
#Enter library dictionary upload:
#0:14:35.648852
#enter spectra comparison:
#0:15:46.616794
Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
100,7.417598615999964,102,449.5,589
200,2.8626156980000133,96,499.5,782
300,3.591119025000012,129,549.5,1146
400,3.8646298520000073,194,599.5,1128
500,4.614501402999963,302,649.5,1142
600,4.774256995000087,407,699.5,983
700,3.526183299999957,289,749.5,806
800,4.130745757999989,277,799.5,729
900,2.5673719449999908,165,849.5,698
1000,2.3556062920000613,319,899.5,474
1100,2.7469947309999725,193,949.5,439
1200,2.0396740009999803,146,999.5,346
1300,2.3473890459999893,203,449.5,589
1400,3.390590083999996,106,499.5,782
1500,4.717045638000059,152,549.5,1146
1600,6.7053130749999355,192,599.5,1128
1700,6.340545375000033,82,649.5,1142
1800,5.400814791000016,104,699.5,983
1900,6.0612593349999315,90,749.5,806
2000,5.139814999000009,114,799.5,729
2100,4.2949610749999465,82,849.5,698
2200,3.36208479600009,121,899.5,474
2300,3.2270190740000544,34,949.5,439
2400,2.543442718000051,55,999.5,346
2500,3.160084242999801,136,449.5,589
2600,3.2439173220000157,146,499.5,782
2700,4.9276102549999905,202,549.5,1146
2800,4.6177579440000045,247,599.5,1128
2900,4.820862222000187,186,649.5,1142
3000,3.569746251999959,122,699.5,983
3100,3.7365483539999786,66,749.5,806
3200,3.022066983000059,72,799.5,729
3300,2.52582560299993,55,849.5,698
3400,2.305230072000086,34,899.5,474
3500,2.3718981919998896,50,949.5,439
3600,1.9447376349999104,91,999.5,346
3700,2.6551809200000207,80,449.5,589
3800,2.786273809000022,183,499.5,782
3900,3.584091871000055,97,549.5,1146
4000,3.7646553810000114,98,599.5,1128
4100,3.4927379189998646,95,649.5,1142
4200,3.6262078290001227,67,699.5,983
4300,3.187491313999999,40,749.5,806
4400,2.650220106000006,46,799.5,729
4500,2.478886861000092,33,849.5,698
4600,2.5640913129998353,67,899.5,474
4700,2.0844173939999564,44,949.5,439
4800,1.8892592430001969,23,999.5,346
4900,2.3649488109999766,206,449.5,589
5000,3.0847942849998162,241,499.5,782
5100,4.031993188000115,123,549.5,1146
5200,4.278062678999959,157,599.5,1128
5300,4.340947202000052,94,649.5,1142
5400,4.39367779600002,101,699.5,983
