#Enter lib upload/conversion:
#0:00:03.975933
#Enter library dictionary upload:
#0:00:07.129676
#enter spectra comparison:
#0:02:58.124787
Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
100,20.787042505999977,141,500.0,822
200,35.455136598000024,158,600.0,1154
300,39.49053260400001,152,700.0,1002
400,30.39007595999999,344,800.0,754
500,23.01293424900001,461,900.0,444
600,16.65291048199998,222,1000.0,340
700,25.307904647999976,1002,500.0,822
800,45.69848464900002,907,600.0,1154
900,64.16220562799998,1302,700.0,1002
1000,38.44542153900005,686,800.0,754
1100,26.21668828999998,238,900.0,444
1200,18.783993173,119,1000.0,340
1300,31.86425409000003,1204,500.0,822
1400,50.085954551999976,1080,600.0,1154
1500,47.32032871799993,864,700.0,1002
1600,35.92814923800006,636,800.0,754
1700,22.73550227399994,415,900.0,444
1800,14.955930970000054,90,1000.0,340
1900,27.57545694800001,1587,500.0,822
2000,50.62034516799997,1493,600.0,1154
2100,50.22419434100004,865,700.0,1002
2200,42.36551844399992,770,800.0,754
2300,24.694263204000094,214,900.0,444
2400,18.580109509999943,37,1000.0,340
2500,34.05636099700007,963,500.0,822
2600,49.70248376999996,1328,600.0,1154
2700,42.420158753999885,489,700.0,1002
2800,32.566016364000006,329,800.0,754
2900,19.898451972000203,59,900.0,444
3000,14.376694575999863,40,1000.0,340
3100,27.860415246000002,745,500.0,822
3200,39.08231013800014,762,600.0,1154
3300,38.12348693999979,178,700.0,1002
3400,27.832095849000098,162,800.0,754
3500,18.96976215399991,57,900.0,444
3600,12.708804170000121,33,1000.0,340
3700,17.716030730000057,271,500.0,822
3800,38.12961186299981,284,600.0,1154
3900,40.10939608400008,243,700.0,1002
4000,30.430188640000097,113,800.0,754
4100,18.286331653999923,51,900.0,444
4200,12.942669709000029,36,1000.0,340
4300,23.331603490999896,700,500.0,822
4400,46.71463358599999,1673,600.0,1154
4500,47.59644089700009,925,700.0,1002
4600,32.12092763999999,142,800.0,754
4700,18.39815145700004,47,900.0,444
4800,13.401737722000007,41,1000.0,340
4900,28.969131597999876,1450,500.0,822
5000,57.38982918500005,1645,600.0,1154
5100,47.762935236999965,798,700.0,1002
5200,35.046875107999995,275,800.0,754
5300,18.81997780100005,61,900.0,444
5400,12.30286004100003,45,1000.0,340
5500,24.05084429899989,1301,500.0,822
5600,43.34100103300011,927,600.0,1154
5700,42.60737415699987,706,700.0,1002
5800,30.96972474900008,311,800.0,754
5900,19.99569253200002,67,900.0,444
6000,12.358721458000218,38,1000.0,340
6100,18.48660513899995,219,500.0,822
6200,33.46728996699994,72,600.0,1154
6300,32.429958668999916,60,700.0,1002
6400,28.621648625000034,46,800.0,754
6500,19.36194737200003,50,900.0,444
6600,14.428838907999761,39,1000.0,340
6700,19.02174412400018,43,500.0,822
6800,34.544353855999816,42,600.0,1154
6900,32.20585165600005,44,700.0,1002
7000,24.484403269000268,38,800.0,754
7100,19.48870055899988,38,900.0,444
7200,15.48133401799987,43,1000.0,340
#7200
#Complete
#0:39:04.835736
#enter csodiaq output filtering:
#0:39:07.806334
#Complete
#0:39:36.468836
#enter csodiaq ppm spread file creation:
#0:39:36.868952
#Complete
#0:42:48.421757
#Enter lib upload/conversion:
#0:43:04.044934
#Enter library dictionary upload:
#0:43:07.064424
