Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
100,21.40528023600001,141,500.0,1139
200,28.77676981899998,158,600.0,1415
300,27.901698080000017,152,700.0,1167
400,22.161053686999992,344,800.0,879
500,17.071618768000008,461,900.0,631
600,12.056617215000017,222,1000.0,414
700,22.208944474999953,1002,500.0,1139
800,36.20006570700002,907,600.0,1415
900,33.984335923,1302,700.0,1167
1000,25.78132426000002,686,800.0,879
1100,17.270820319999984,238,900.0,631
1200,11.311679284999968,119,1000.0,414
1300,24.957954582000013,1204,500.0,1139
1400,36.18921313300001,1080,600.0,1415
1500,33.112183867,864,700.0,1167
1600,24.857425622999983,636,800.0,879
1700,17.171485425000014,415,900.0,631
1800,11.549171969999975,90,1000.0,414
1900,25.008090020000054,1587,500.0,1139
2000,36.51341095199996,1493,600.0,1415
2100,33.79961249999997,865,700.0,1167
2200,24.64247478300001,770,800.0,879
2300,16.80230370000004,214,900.0,631
2400,11.151193310000053,37,1000.0,414
2500,24.32409144999997,963,500.0,1139
2600,35.43920295999999,1328,600.0,1415
2700,31.66151082800002,489,700.0,1167
2800,22.86528032900003,329,800.0,879
2900,15.86059417499996,59,900.0,631
3000,10.966985404999946,40,1000.0,414
3100,21.027895433000026,745,500.0,1139
3200,32.175228365000066,762,600.0,1415
3300,29.4191641729999,178,700.0,1167
3400,21.676020417000018,162,800.0,879
3500,16.161042980000047,57,900.0,631
3600,11.619804661999979,33,1000.0,414
3700,18.74591822299999,271,500.0,1139
3800,29.063084957,284,600.0,1415
3900,28.393406693000088,243,700.0,1167
4000,22.26991542499991,113,800.0,879
4100,15.586532374999933,51,900.0,631
4200,11.03244537500018,36,1000.0,414
4300,21.713304719999996,700,500.0,1139
4400,34.712997546999986,1673,600.0,1415
4500,34.29258610299985,925,700.0,1167
4600,23.271302605000074,142,800.0,879
4700,15.711106597000025,47,900.0,631
4800,10.987425643000051,41,1000.0,414
4900,25.13301605699985,1450,500.0,1139
5000,38.71791010300012,1645,600.0,1415
5100,34.441730620000044,798,700.0,1167
5200,23.770253799999864,275,800.0,879
5300,15.96132660000012,61,900.0,631
5400,11.006188214999838,45,1000.0,414
5500,25.026711250000062,1301,500.0,1139
5600,35.680225331999964,927,600.0,1415
5700,32.474792879999995,706,700.0,1167
5800,23.39676096800008,311,800.0,879
5900,15.918535909999946,67,900.0,631
6000,11.039481481999928,38,1000.0,414
6100,19.479097251000212,219,500.0,1139
6200,28.534028116999934,72,600.0,1415
6300,27.96234539199986,60,700.0,1167
6400,20.76867052500006,46,800.0,879
6500,15.493171455000038,50,900.0,631
6600,11.025699864999979,39,1000.0,414
6700,17.74405906800007,43,500.0,1139
6800,28.21002228999987,42,600.0,1415
6900,27.09292393999999,44,700.0,1167
7000,21.119275877000064,38,800.0,879
7100,15.505326560999947,38,900.0,631
7200,10.994328903999985,43,1000.0,414
